Local time,Ask,Bid
24.06.2016 08:00:00.296 GMT+0100,5811.35,5810.35
24.06.2016 08:00:03.399 GMT+0100,5790.5,5782.5
24.06.2016 08:00:03.987 GMT+0100,5791.8,5783.8
24.06.2016 08:00:04.402 GMT+0100,5790.8,5782.8
24.06.2016 08:00:04.920 GMT+0100,5790.5,5782.5
24.06.2016 08:00:05.504 GMT+0100,5790,5782
24.06.2016 08:00:06.508 GMT+0100,5789.3,5781.3
24.06.2016 08:00:07.007 GMT+0100,5788.8,5780.8
24.06.2016 08:00:07.508 GMT+0100,5788.5,5780.5
24.06.2016 08:00:08.512 GMT+0100,5783.27,5782.27
24.06.2016 08:00:08.819 GMT+0100,5783.77,5782.77
24.06.2016 08:00:09.265 GMT+0100,5783.92,5782.92
24.06.2016 08:00:09.809 GMT+0100,5783.61,5782.61
24.06.2016 08:00:10.168 GMT+0100,5782.32,5781.32
24.06.2016 08:00:10.515 GMT+0100,5782.12,5781.12
24.06.2016 08:00:10.881 GMT+0100,5782.16,5781.16
24.06.2016 08:00:11.274 GMT+0100,5781.8,5780.8
24.06.2016 08:00:11.576 GMT+0100,5779.27,5778.27
24.06.2016 08:00:11.898 GMT+0100,5779.77,5778.77
24.06.2016 08:00:12.338 GMT+0100,5779.62,5778.62
24.06.2016 08:00:12.668 GMT+0100,5779.38,5778.38
24.06.2016 08:00:12.998 GMT+0100,5778.115,5776.23
24.06.2016 08:00:13.841 GMT+0100,5776.77,5775.77
24.06.2016 08:00:14.148 GMT+0100,5776.14,5775.14
24.06.2016 08:00:14.538 GMT+0100,5776.21,5775.21
24.06.2016 08:00:14.890 GMT+0100,5776.3,5775.3
24.06.2016 08:00:15.295 GMT+0100,5775.52,5774.52
24.06.2016 08:00:15.748 GMT+0100,5775.96,5774.96
24.06.2016 08:00:16.300 GMT+0100,5775.425,5774.35
24.06.2016 08:00:16.630 GMT+0100,5775.68,5774.68
24.06.2016 08:00:17.068 GMT+0100,5776.33,5775.33
24.06.2016 08:00:17.406 GMT+0100,5776.02,5775.02
24.06.2016 08:00:17.909 GMT+0100,5775.52,5774.52
24.06.2016 08:00:18.312 GMT+0100,5775.27,5774.27
24.06.2016 08:00:18.635 GMT+0100,5774.52,5773.52
24.06.2016 08:00:19.048 GMT+0100,5773.82,5772.82
24.06.2016 08:00:19.405 GMT+0100,5773.67,5772.67
24.06.2016 08:00:19.708 GMT+0100,5773.83,5772.83
24.06.2016 08:00:20.183 GMT+0100,5773.91,5772.91
24.06.2016 08:00:20.641 GMT+0100,5772.98,5771.66
24.06.2016 08:00:21.206 GMT+0100,5773.43,5772.43
24.06.2016 08:00:21.530 GMT+0100,5773.21,5772.12
24.06.2016 08:00:22.018 GMT+0100,5773.35,5772.35
24.06.2016 08:00:22.348 GMT+0100,5773.02,5772.02
24.06.2016 08:00:23.118 GMT+0100,5772.425,5771.35
24.06.2016 08:00:23.478 GMT+0100,5772.16,5771.02
24.06.2016 08:00:24.218 GMT+0100,5772.32,5771.32
24.06.2016 08:00:24.549 GMT+0100,5771.85,5770.85
24.06.2016 08:00:24.957 GMT+0100,5771.9,5770.8
24.06.2016 08:00:25.318 GMT+0100,5772.75,5771.7
24.06.2016 08:00:25.655 GMT+0100,5772.77,5771.77
24.06.2016 08:00:26.418 GMT+0100,5772.87,5771.87
24.06.2016 08:00:26.784 GMT+0100,5772.98,5771.98
24.06.2016 08:00:27.298 GMT+0100,5772.52,5771.52
24.06.2016 08:00:27.958 GMT+0100,5772.39,5771.39
24.06.2016 08:00:28.398 GMT+0100,5772.77,5771.77
24.06.2016 08:00:28.777 GMT+0100,5772.285,5771.27
24.06.2016 08:00:29.406 GMT+0100,5772.265,5771.23
24.06.2016 08:00:29.907 GMT+0100,5772.39,5771.39
24.06.2016 08:00:30.265 GMT+0100,5772.62,5771.62
24.06.2016 08:00:30.708 GMT+0100,5772.475,5771.45
24.06.2016 08:00:31.148 GMT+0100,5772.98,5771.98
24.06.2016 08:00:31.619 GMT+0100,5772.58,5771.58
24.06.2016 08:00:32.138 GMT+0100,5773.06,5772.06
24.06.2016 08:00:32.688 GMT+0100,5772.66,5771.66
24.06.2016 08:00:33.018 GMT+0100,5772.92,5771.92
24.06.2016 08:00:33.386 GMT+0100,5773.02,5772.02
24.06.2016 08:00:33.894 GMT+0100,5772.255,5771.21
24.06.2016 08:00:34.338 GMT+0100,5772.86,5771.86
24.06.2016 08:00:34.693 GMT+0100,5772.9,5771.9
24.06.2016 08:00:35.095 GMT+0100,5772.27,5771.27
24.06.2016 08:00:35.397 GMT+0100,5772.9,5771.9
24.06.2016 08:00:35.768 GMT+0100,5772.85,5771.85
24.06.2016 08:00:36.318 GMT+0100,5772.81,5771.81
24.06.2016 08:00:36.662 GMT+0100,5772.35,5771.35
24.06.2016 08:00:37.088 GMT+0100,5772.6,5771.6
24.06.2016 08:00:37.418 GMT+0100,5772.255,5771.21
24.06.2016 08:00:37.968 GMT+0100,5772.25,5771.25
24.06.2016 08:00:38.393 GMT+0100,5772.65,5771.65
24.06.2016 08:00:38.894 GMT+0100,5772.71,5771.71
24.06.2016 08:00:39.405 GMT+0100,5772.89,5771.89
24.06.2016 08:00:39.728 GMT+0100,5773.02,5772.02
24.06.2016 08:00:40.387 GMT+0100,5773.25,5772.25
24.06.2016 08:00:40.828 GMT+0100,5773.02,5772.02
24.06.2016 08:00:41.158 GMT+0100,5772.87,5771.87
24.06.2016 08:00:41.488 GMT+0100,5772.81,5771.81
24.06.2016 08:00:41.843 GMT+0100,5769.44,5768.08
24.06.2016 08:00:42.367 GMT+0100,5769.67,5768.54
24.06.2016 08:00:42.698 GMT+0100,5769.685,5768.57
