Local time,Ask,Bid
22.06.2016 08:00:30.237 GMT+0100,6273.1,6273
22.06.2016 08:00:30.338 GMT+0100,6273.5,6272.5
22.06.2016 08:00:31.793 GMT+0100,6273.5,6272.5
22.06.2016 08:00:31.944 GMT+0100,6273.3,6273
22.06.2016 08:00:32.302 GMT+0100,6273.5,6273
22.06.2016 08:00:33.399 GMT+0100,6274,6273
22.06.2016 08:00:33.901 GMT+0100,6273.5,6273
22.06.2016 08:00:34.024 GMT+0100,6274,6272.163
22.06.2016 08:00:34.149 GMT+0100,6273,6272
22.06.2016 08:00:34.504 GMT+0100,6273.5,6272.5
22.06.2016 08:00:34.851 GMT+0100,6273,6272
22.06.2016 08:00:35.005 GMT+0100,6273,6272
22.06.2016 08:00:36.109 GMT+0100,6273,6271.163
22.06.2016 08:00:36.160 GMT+0100,6270.8,6269.8
22.06.2016 08:00:36.558 GMT+0100,6271.5,6270.5
22.06.2016 08:00:36.811 GMT+0100,6271.5,6270.5
22.06.2016 08:00:37.415 GMT+0100,6271.5,6270.8
22.06.2016 08:00:37.562 GMT+0100,6273,6271.597
22.06.2016 08:00:37.663 GMT+0100,6271.8,6270.8
22.06.2016 08:00:37.972 GMT+0100,6272,6271
22.06.2016 08:00:38.425 GMT+0100,6272.3,6271.263
22.06.2016 08:00:38.567 GMT+0100,6272,6271
22.06.2016 08:00:40.631 GMT+0100,6272,6271
22.06.2016 08:00:40.682 GMT+0100,6270.48,6269.8
22.06.2016 08:00:40.884 GMT+0100,6268.627,6267.28
22.06.2016 08:00:41.027 GMT+0100,6268.28,6267.5
22.06.2016 08:00:41.434 GMT+0100,6267.57,6267.47
22.06.2016 08:00:41.731 GMT+0100,6267.57,6266.57
22.06.2016 08:00:41.881 GMT+0100,6267.57,6267
22.06.2016 08:00:42.314 GMT+0100,6266.8,6266.5
22.06.2016 08:00:42.365 GMT+0100,6267.1,6265.8
22.06.2016 08:00:42.534 GMT+0100,6267.08,6266.08
22.06.2016 08:00:43.086 GMT+0100,6267.14,6266.14
