Local time,Ask,Bid
23.06.2016 08:00:00.242 GMT+0100,6306.41,6306.3
23.06.2016 08:00:00.361 GMT+0100,6306.41,6305.41
23.06.2016 08:00:00.412 GMT+0100,6306.41,6305.41
23.06.2016 08:00:00.613 GMT+0100,6312.19,6311.19
23.06.2016 08:00:00.931 GMT+0100,6312.48,6311.48
23.06.2016 08:00:01.156 GMT+0100,6312.48,6311.027
23.06.2016 08:00:01.269 GMT+0100,6311.95,6310.95
23.06.2016 08:00:01.591 GMT+0100,6311.893,6309.88
23.06.2016 08:00:01.921 GMT+0100,6313.13,6312.13
23.06.2016 08:00:02.226 GMT+0100,6313.63,6312.63
23.06.2016 08:00:02.327 GMT+0100,6313.63,6312.8
23.06.2016 08:00:02.419 GMT+0100,6312.72,6311.72
23.06.2016 08:00:02.629 GMT+0100,6312.72,6312.407
23.06.2016 08:00:02.690 GMT+0100,6313.48,6312.5
23.06.2016 08:00:02.830 GMT+0100,6313.48,6312.48
23.06.2016 08:00:03.132 GMT+0100,6312.72,6311.72
23.06.2016 08:00:03.461 GMT+0100,6313.55,6312.55
23.06.2016 08:00:03.534 GMT+0100,6313.55,6312.55
23.06.2016 08:00:03.737 GMT+0100,6313.55,6312.8
23.06.2016 08:00:03.836 GMT+0100,6313.55,6312.55
23.06.2016 08:00:03.887 GMT+0100,6313.55,6312.55
23.06.2016 08:00:04.231 GMT+0100,6313.7,6312.8
23.06.2016 08:00:04.490 GMT+0100,6313.7,6313
23.06.2016 08:00:04.541 GMT+0100,6313.7,6313.3
23.06.2016 08:00:04.591 GMT+0100,6313.88,6313.3
23.06.2016 08:00:04.642 GMT+0100,6313.88,6312.88
23.06.2016 08:00:04.890 GMT+0100,6314.13,6313.13
23.06.2016 08:00:05.245 GMT+0100,6314.26,6312.587
23.06.2016 08:00:05.347 GMT+0100,6314.26,6313.26
23.06.2016 08:00:05.440 GMT+0100,6313.13,6312.5
23.06.2016 08:00:05.491 GMT+0100,6313.13,6312.3
23.06.2016 08:00:05.849 GMT+0100,6313.88,6312.293
23.06.2016 08:00:06.000 GMT+0100,6312.76,6311.8
23.06.2016 08:00:06.307 GMT+0100,6312.99,6311.99
23.06.2016 08:00:06.357 GMT+0100,6312.99,6310.863
23.06.2016 08:00:06.430 GMT+0100,6310.63,6309.8
23.06.2016 08:00:06.769 GMT+0100,6310.22,6309.5
23.06.2016 08:00:06.955 GMT+0100,6310.22,6309.3
23.06.2016 08:00:07.005 GMT+0100,6310.38,6309.38
23.06.2016 08:00:07.310 GMT+0100,6310.81,6310
23.06.2016 08:00:07.361 GMT+0100,6310.81,6309.81
23.06.2016 08:00:07.458 GMT+0100,6310.81,6310
23.06.2016 08:00:07.659 GMT+0100,6310.72,6309.8
23.06.2016 08:00:07.854 GMT+0100,6311.05,6310.05
23.06.2016 08:00:07.905 GMT+0100,6311.05,6310.05
23.06.2016 08:00:08.212 GMT+0100,6309.98,6308.26
23.06.2016 08:00:08.565 GMT+0100,6307.63,6306.63
23.06.2016 08:00:08.867 GMT+0100,6308.13,6307.5
23.06.2016 08:00:09.169 GMT+0100,6308.13,6308
23.06.2016 08:00:09.325 GMT+0100,6308.38,6308
23.06.2016 08:00:09.380 GMT+0100,6308.38,6307.96
23.06.2016 08:00:09.470 GMT+0100,6308.38,6307.38
